Locality,dist_brussels,dist_antwerp,dist_ghent,dist_liege,dist_bruges,dist_namur,dist_leuven,dist_sea
Loverval,53.54454966688808,94.02552621620636,92.40483101750134,83.3170155380906,127.70850474562975,30.04254447056638,58.37213851527997,134.5153539512855
Lubbeek,34.343856018124555,48.31032663650888,80.79769822771313,59.07114836027982,118.5272528025114,46.19149681330755,9.681946959353272,115.84534850544348
Luingne,79.54730336682779,97.714181148617,48.7809882757197,165.6921222408133,52.29337682815747,119.49226040962331,104.24347224756308,58.16663028621982
Lummen,60.8032395754646,60.908741673152136,103.40917366548348,47.84047290160398,139.58330885848704,61.92971617525484,36.40983578419862,134.03339103044843
Lustin,64.96782412777031,99.66412598400738,111.91073769947592,55.940307219523135,149.40936937885576,9.959316831464848,57.35280259999069,153.257957056655
Léglise,143.95464375702684,177.04500590924383,189.92627364837563,92.58827365243936,226.50281295923088,88.07000809594369,133.9405970830478,231.70513339297125
Maarkedal,50.14371412947432,70.90884131432134,29.050964474732776,137.59161589560028,54.35498035785997,94.13092183743191,74.83725859244757,65.7208936253182
Maaseik,104.4259065368725,97.87062798878291,144.9877249033233,53.49650626665738,179.48823827067227,95.11945347516463,80.0327231945465,171.56423672400732
Maasmechelen,95.09473772254366,94.71520020610468,138.79614498732272,37.68274759162567,174.75729046348087,80.05327503123391,70.39761216577304,168.47133789511795
Mabompré,127.91518058426948,155.0334119994335,176.99274882097376,59.085070957845325,215.0823790781065,73.11184947612095,112.61609451041107,217.25997177883977
Machelen,8.772072805481313,35.481685105978904,53.81601588905134,85.10107621333913,92.01552485385528,56.80836545889444,17.959254058412405,91.21107978425498
Magnée,97.53400367131756,112.85009277471904,146.76611473930785,7.880623389740591,184.9574468195664,59.1414906734178,75.55975227763608,182.78084649436173
Maissin,114.62178068685446,149.89364835562702,159.2846308016477,79.45100519179283,195.45136085506104,60.015134752443046,107.24408242498876,201.2388699037795
Maldegem,74.88880826600955,66.68783899681064,25.61592189492991,162.7568236993977,15.36189455167156,129.74384365713289,95.07897318966975,17.91617576431043
Malderen,20.312601713549643,24.8012538126952,37.00411274094088,103.239698562206,74.18939843397678,75.6752285710339,35.582698023856544,72.0964388783469
Malempré,114.9498981993404,138.985896707266,164.68481114657186,39.85681714165898,203.07690322863243,63.0763574268744,97.4726134772452,203.8904745149839
Malle,55.10655478635249,22.022638233656977,73.2130084330076,96.45970552634184,102.7005162606904,93.07378762900774,46.376714795763725,92.6044543220183
Malmedy,127.23025700991283,144.22917829630455,176.90760071769947,39.0815535236254,215.26914089071377,81.95851840474323,106.26934925982044,213.7427812355493
Malonne,55.53074408488253,91.16449417920774,102.26614983274196,59.41078564843647,139.79156958891951,6.235116429727213,49.56366942539678,143.62849063501986
Manage,39.36505622088214,80.40529604378528,71.21290298253919,96.00097346547118,105.75716828672893,45.20469523880087,53.09048962317247,113.23994104493975
Manhay,112.19392990657316,136.51369840626717,161.90930767406513,38.36846354796211,200.2937071229412,60.2322818380026,94.87288662647526,201.1769701688792
Marbais,35.82999767092252,74.98629375239436,80.40323355941257,74.09247797455464,117.7146524755327,25.34822486878017,38.36235279201031,122.03868209992515
Marche-En-Famenne,98.48494118392637,128.6372854725376,146.9107471575189,48.13221933947863,184.7753900382012,42.73721957416807,85.56338402585082,187.6935404020497
Marchienne-Au-Pont,49.20338524010722,90.1156161421602,86.44577782159492,86.87030226772741,121.51505485343188,33.88343476260541,56.41730587788145,128.54829823346677
Marchin,74.11855520886256,100.50231903654718,123.83719746233834,30.17118924863748,162.23636242572502,25.12313168221512,57.8527388392557,163.20034776500734
Marcinelle,52.43649123479471,93.1463721943488,90.40685790158132,85.2955457204855,125.51165391497612,32.05498519923713,58.32452932478889,132.51287665020322
Marcourt,109.06674170630524,136.92845443101763,158.1201644116976,46.63690966618726,196.223888055742,54.319915731686,94.23781142706048,198.41327751889227
Marenne,101.15680710361018,129.95188833936686,150.02869696068498,44.75906518059218,188.0696976572579,46.07261147030382,87.04896631212232,190.4872698210233
Mariakerke,53.45081652653628,53.29978725917196,3.595140767793461,142.37132744484535,34.900033881966735,107.76394083986442,74.927127983777,38.7470483978198
Mariembourg,84.95478827159981,125.41371667859605,120.9855092610238,95.91438080057624,154.13241871031198,48.334333708684746,88.25709817791645,162.85290991850243
Marilles,44.78969883091515,68.68743032061128,94.52971580285714,45.38803643934384,132.9489750323801,26.950182338194782,25.97448901152633,132.49229043706652
Marke,78.6749221660392,93.74785543169769,43.65038567979566,166.2893748724878,44.73304906076711,121.54912270226949,103.30956031972664,51.50739369204457
Martelange,150.92885444884132,182.0820595351236,198.0949833010156,91.52269458908764,235.2255075484331,94.73868064149904,139.00782113763208,239.5458758706442
Massemen,36.530814201551095,45.46562448215575,13.634345930574645,125.98468991821818,51.9429832380368,90.54804011901408,59.03346428555375,55.25031679303521
Matagne-La-Grande,83.76448311491505,123.5536870906047,122.28029633842348,88.77986917086473,156.4266469312906,42.755006231219305,84.97914632368764,164.32822567747127
Maurage,47.40088311517185,87.6444743269498,72.03944624616238,106.19809575489955,104.19677209721146,54.42941778224682,63.33647107096206,113.44164604502755
Mazenzele,16.285737512608485,34.7161563472477,34.124504575768,104.81265277568887,72.492802329245,72.2921323770812,37.7278430549264,73.06213115304584
Mechelen,21.732254875755736,21.950308750814404,53.42038455271517,88.85750779021599,89.9256052880705,68.16572947996477,22.580433682243576,86.13006324593029
Mechelen-Aan-De-Maas,91.79311046429515,90.91623432370478,135.1639714965528,38.50885037620714,171.03690926098298,78.55057824872739,67.1072449404636,164.68349705199907
Mechelen-Bovelingen,65.15014667713962,80.22899877836224,113.78572656802125,25.45822397737229,151.8325373121929,41.22166397169711,42.35181088489506,149.45868786396986
Meer,71.6562147411388,34.46824425960836,83.45082689881693,107.9720446742901,108.48975284831371,109.34054077435512,63.14441133731049,95.7793052710526
Meerbeke,22.139431303611563,50.78227409483586,34.1202172548556,110.49744883772075,71.2858923223958,70.8488833853837,46.83703853749672,76.12862870928514
Meerhout,59.64934055495805,48.03653361932362,95.35509136734848,65.74962507045674,129.44265194743744,75.26789125117105,38.46640627692948,121.89519641692334
Meeuwen,86.26505839733096,79.04887478720009,125.9789027591752,51.91246599581294,160.51329488199204,83.5887861456853,62.23417513989355,152.8486556184566
Meeuwen-Gruitrode,91.08309726093871,84.55114941361853,131.3447953719835,50.64191852305905,165.98484308257716,85.76989082771678,66.85598437032652,158.35227532514787
Meise,9.463211401684118,32.13291441132533,44.82150010516718,94.12152894199605,82.98206495322488,64.47553743372217,26.7590711118948,82.35343257783568
Meix-Devant-Virton,160.0466316002488,195.0540698000193,204.02643701051468,114.4118254971231,239.51974240543376,105.25766891212656,152.1826816519901,246.08846145483253
Meix-Le-Tige,168.2660027744934,201.27750246530348,213.95414783414896,113.56337378399112,250.27532403193248,112.41082976616234,158.15787341476113,255.81369541604747
Melden,55.34623775132483,73.78396583750545,28.600834849350505,143.22964116105675,49.85422855066394,99.92247642764715,80.00093123169778,61.75997380966284
Meldert,34.80155828218707,56.78618821162996,83.88820429435032,55.06610274611671,122.17146529941672,35.75057634669604,14.001661727385269,121.03739196929088
Melle,42.30404943992265,48.52262307756448,8.060603881840441,131.70761036360395,46.185259942119615,96.17390175676826,64.64084015487714,50.0783343506369
Mellier,146.17269418271306,179.47030673043628,191.94798738828143,95.28592695066204,228.4178016253049,90.36879491756147,136.37750212293147,233.7695357862837
Menen,83.45297091273608,98.5498100644471,48.24418977693311,170.8071012521893,46.38446942614438,125.60090276221884,108.10648936993783,50.4888407492753
Merbes-Le-Château,59.736078150416986,100.76529269163036,87.56221539943675,104.67043360473708,119.27166685385664,51.42268877427095,71.81796205977543,128.89833763293964
Merbes-Sainte-Marie,56.508242284763824,97.46111154480089,84.04546159087987,104.30405341297704,115.9576952531707,51.20227015573682,69.26506936392525,125.43453327957332
Merchtem,14.68633309714268,31.229276814017915,37.62580118088266,101.3473508348523,75.75082563602987,70.79833576073806,33.90574688595722,75.31904338954806
Merelbeke,45.38054167571901,52.22881444145776,6.964150141507266,134.9658188804898,43.5431824880154,98.55295347828569,68.09025897080966,48.75238202476376
Merksem,44.195547110491134,3.7590577777527456,54.61555843006852,104.88284303333248,84.69409678853029,91.51575516773012,44.39765243777767,75.85847535966899
Mesen,102.51705437146563,116.93042364388084,66.0175639976657,189.2738599860474,54.90942576565974,142.88993596182712,127.1927374411276,44.92717770052965
Mesnil-Saint-Blaise,84.82052393361116,121.84657661387136,128.5419336025435,71.41100973789786,164.66042558744186,33.39723952014773,80.31165372546187,170.54068911758003
Messancy,174.10477884783026,206.48508760872,220.20095114961225,116.58640044649955,256.70894737288586,118.08404950842856,163.3612186135344,261.98209698961324
Mesvin,54.420333236514736,93.27306691901498,71.67457615280784,116.66705961591322,101.06077551104096,64.66672451359675,72.38740782123122,111.9049649630057
Mettet,62.69253224723623,101.48355221192864,105.07051544569784,73.81185069564295,141.13475431968976,22.20563094976308,62.18314885807335,147.1091079408056
Meulebeke,75.35180769424878,83.36180412162116,32.158233457811136,164.83854843191307,29.19682523449499,123.70440037090022,99.2688409736368,40.14475665463073
Meux,45.88860744910336,79.33180084107445,94.4863681239115,55.640552446571,132.60686863188943,10.623495333659646,37.15175435147534,135.05794862066782
Middelkerke,113.27668478827373,110.10538797785432,64.13340961845418,202.8445803569822,28.106262217373686,164.624663768666,135.6424470539144,7.879724339146388
Milmort,89.4777380395679,102.24364210589388,138.03631754107,6.889981325058066,175.9762025997717,57.19496834894621,66.52641262977262,173.06207488711112
Minderhout,69.3085244228135,33.39072747102085,83.28301076251105,104.28163976980709,109.43334718030292,105.91767911310174,59.95056011424841,97.24027391446184
Modave,78.40961899459174,103.91020566435948,128.18872658706212,27.189392328676057,166.60788406525492,29.599099425202684,61.53206852758821,167.36748880062635
Moelingen,96.4515121626178,105.3366152744814,143.9956376492636,16.888989623129884,181.5052885296616,67.75082359052254,72.6501139971099,177.53928884483565
Moen,67.65455012185195,86.36718186917412,38.88715917239298,154.4198350644569,50.47719681432128,109.27355398697944,92.3518307067976,60.90027506286998
Moerbeke-Waas,46.0502051713185,32.53582630941425,20.527591175403767,129.71025177664333,50.08541479199333,102.21613672824864,62.37237087857438,45.20869746203567
Moha,67.85657124577132,92.8599881616648,117.72332060664148,29.245679772594272,156.17453805477953,24.041592179797338,50.45457652145711,156.55870080953932
Mol,65.05345973970648,49.83353237386568,98.64459439844956,69.41914501752845,131.7794769417603,81.50350513695349,44.57319160977162,123.36895501045754
Molenbaix,67.97050900699624,90.49809711715548,45.4005656575356,152.51086166087103,59.05326569958911,105.663946262412,92.53909842876014,68.85898311902318
Molenbeek-Wersbeek,42.98865765760208,50.84179186948583,87.81993037437319,54.44879287508477,125.02007688958211,50.79268017303447,18.372126032914657,121.21064247464538
Molenbeersel,103.23249415043198,93.18827835723783,141.58937150917782,60.69500152242109,175.16351819003916,98.93613664104456,79.34566404011613,166.44117865788556
Monceau-Sur-Sambre,48.583552874110254,89.59407472555827,85.17146628330998,88.15917802517932,120.1055978158572,35.26717549374207,56.50246244192408,127.2646886445222
Mons,52.21769474618413,90.69876122267796,68.65610638816456,116.70256797176468,98.20477992607782,65.13402235111408,70.81461051875286,108.93098305816685
Monstreux,28.945986113523613,70.093359688889,64.9743586332532,91.39461109830512,101.13578239400702,43.72511947297296,43.19717233896333,107.05821321130782
Mont,52.21769474618413,90.69876122267796,68.65610638816456,116.70256797176468,98.20477992607782,65.13402235111408,70.81461051875286,108.93098305816685
Mont-De-L'Enclus,60.216508335376666,81.66492651502864,37.2460915668994,146.26223440525243,55.31608695749783,100.89290359462092,84.88948248347985,67.06439919144168
